漢字,臺灣台語羅馬字
教典僻智識,Kàu-tián Phiah-tì-sik
教典,Kàu-tián
僻智識,phiah-tì-sik
聲母,siann-bó
聲母,siann-bú
韻母,ūn-bó
韻母,ūn-bú
大寫,tuā-siá
小寫,sió-siá
大小寫,tuā-sió-siá
韻尾,ūn-bué
韻頭,ūn-thâu-
介音,kài-im
聲韻調,siann-ūn-tiāu
主詞目,tsú-sû-bo̍k
詞目,sû-bo̍k
條目,tiâu-bo̍k
義項,gī-hāng
近反義詞不單列條目者,kīn-huán-gī-sû put tan lia̍t tiâu-bo̍k-tsiá
單字不成詞者,tan-jī put sîng-sû-tsiá
台華共同詞,Tâi-Huâ kiōng-tông-sû
方言差,hong-giân-tsha
方言差表,hong-giân-tsha-pió
詞彙比較,su-luī pí-kàu
詞彙比較表,su-luī pí-kàu-pió
台日典,Tâi-Ji̍t-tián
甘字典,Kam-jī-tián
句法,kù-huat
句點,kù-tiám
逗點,tōo-tiám
頓號,tùn-hō
分號,hun-hō
冒號,mōo-hō
引號,ín-hō
夾注號,kiap-tsù-hō
問號,būn-hō
驚嘆號,king-thàn-hō
轉折號,tsuán-tsiat-hō
刪節號,san-tsiat-hō
書名號,su-bîng-hō
專名號,tsuan-bîng-hō
間隔號,kàn-keh-hō
連接號,liân-tsiap-hō
連寫,liân-siá
分寫,hun-siá
連字符號,liân-jī hû-hō
連字符,liân-jī-hû
輕讀,khin-tho̍k
連讀變調,liân-tho̍k piàn-tiāu
大括號,tuā-kuat-hō
小括號,sió-kuat-hō
正規,tsìng-kui
正規表達式,tsìng-kui piáu-ta̍t-sik
正規表示式,tsìng-kui piáu-sī-sik
疊詞,tha̍h-sû
優勢腔,iu-sè-khiunn
用例,iōng-lē
閩南,Bân-lâm
閩南語,Bân-lâm-gí
臺灣台語,Tâi-uân Tâi-gí
漢羅濫,Hàn-lô-lām
漢羅濫寫,Hàn-lô lām-siá
濫寫,lām-siá
音位,im-uī
詞綴,sû-tuè
語素,gí-sòo
字幕,jī-bōo
期尾,kî-bué
信望愛,sìn-bōng-ài
增補,tsing-póo
全漢,tsuân-hàn
全羅,tsuân-lô
單詞,tan-sû
